NDR 0 ,,,,NDR 1 ,,,Difference in diversification ,Freq 0,Freq 1
0.1,,,,0,,,0.15,0.68,0.32
0.1,,,,0.05,,,0.1,0.69,0.3
0.2,,,,0.05,,,0.05,0.57,0.43
0.1,,,,0.09,,,0.03,0.647,0.3529
0.1,,,,0.08,,,0.02,0.642,0.357
,,,,,,,0.01,0.43,0.568
0.1,,,,0.07,,,,,
